Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Lebanon",6994.1567,7147.5547,7405.707,7836.8267,8248.101,8671.1875,9491.61,9933.082,10236.868,11276.507,12479.107,14039.346,15622.367,16230,16284.763,15145.569,13586.273,12982.721,13073.557,13209.284,13236.691,12854.797,10182.637,10573.861,10341.159
"Lesotho",1922.6793,1923.9032,1967.4332,1997.3577,1959.028,2003.09,2004.0602,2013.8077,2056.3296,2106.84,2177.8574,2199.3948,2313.882,2346,2456,2559,2644,2710,2774.5996,2654.4136,2582.512,2514.2244,2297.383,2311.8909,2312.9583
"Liberia",772.67645,848.42114,971.93304,1097.2496,1342.7588,851.91095,760.8758,755.2236,769.29297,768.20703,811.158,838.452,854.235,820,853,900,884,865,843.52625,848.2952,842.37573,807.3494,768.40546,790.2841,811.2146
"Libya",8545.48,9064.067,9770.98,10354.482,10787.675,12870.574,14193.259,16538.557,18657.062,20731.719,25140.6,26403.787,29157.143,12893,25302.516,20190.09,15154.099,14720.548,14219.172,18455.953,19504.555,16971.502,11741.864,14797.098,12755.204
"Lithuania",10382.117,10336.3955,10806.874,11606.729,12490.621,13917.508,14995.767,16417.95,17916.059,20138.473,20879.803,17983.35,18663.762,20243,21305.004,22285.684,23273.172,23968.848,24886.84,26318.023,27631.46,28986.053,28971.844,30557.03,30863.32
"Luxembourg",44142.56,47061.11,50063.824,50527.664,51709.734,51717.03,52624.164,53262.094,54920.81,58369.703,56383.19,52731.39,54086.336,54031,53675.46,53973.395,54100.086,54251.45,55516.098,55037.188,54625.96,54751.6,53489.332,55346.676,55484.777
"Madagascar",1174.2272,1206.8938,1238.7764,1290.1064,1110.8217,1198.4432,1239.897,1276.4868,1322.4795,1384.185,1458.7854,1367.6863,1349.6199,1347,1350.6381,1345.351,1354.1407,1360.7545,1379.3699,1398.0183,1407.4424,1434.2703,1300.5428,1343.4438,1367.0938
"Malawi",986.0287,989.83594,967.0872,899.2305,886.1978,905.7955,922.7613,920.0499,929.4762,982.39166,1017.8208,1061.9495,1091.5876,1102,1089.3064,1112.7039,1142.9807,1144.3241,1138.7363,1153.043,1172.6713,1205.477,1186.6827,1211.2092,1190.0509
"Malaysia",12129.636,12636.607,13474.701,13307.215,13809.872,14362.155,15087.251,15651.118,16353.924,17209.584,17865.64,17430.445,18574.299,19390,20162.178,20819.164,21769.006,22550.342,23251.902,24301.559,25175.799,25986.412,24279.316,24764.65,26628.707
"Mali",1167.4326,1192.3168,1153.0461,1309.2559,1321.3389,1391.2634,1366.983,1414.7927,1438.2079,1441.2059,1460.496,1477.4183,1504.9956,1500,1449.1959,1444.1879,1505.6677,1555.8046,1602.7819,1642.5182,1673.8774,1706.0105,1638.9304,1643.0144,1651.9413
"Malta",18488.666,19254.365,20434.549,20413.05,20873.984,21273.135,21233.002,21905.215,22233.717,23048.264,23674.594,22927.654,23632.625,23871,24629.777,25611.121,27007.89,28906.48,29207.27,31495.494,32292.822,33220.285,29703.762,33031.184,34496.34
"Mauritania",1841.2075,1954.2294,1934.7421,1964.4457,1967.4484,2076.2332,2185.9502,2371.0066,2807.199,2875.0347,2895.665,2855.5747,2982.7488,3104,3213,3319,3459,3424,3376.7524,3495.223,3567.1013,3659.103,3532.2979,3527.4277,3680.3662
"Mauritius",13607.885,13572.681,14272.301,14347.61,14196.041,14623.309,14854.613,14725.164,15042.541,15519.419,15957.96,16029.264,16269.32,16483,17021.246,17555.555,18192.188,18828,19525.314,20259.887,21040.639,21624.842,18445.975,19069.049,20643.094
"Mexico",11510.877,11894.203,12613.396,12565.465,12645.504,12793.956,13287.6,13655.801,14287.559,14684.728,14808.09,14026.989,14697.298,15210,15547.994,15614.781,15883.877,16235.004,16705.047,16900.13,17055.117,16802.014,15253.691,15853.376,16235.455
"Middle East and North Africa (MPD)",0,0,9658.656,0,0,0,0,0,0,0,0,0,16565.371,0,0,0,0,18401.537,18831.977,19067.09,19221.93,19088.29,18227.408,19162.693,19874.799
"Moldova",3078.0095,2949.9065,2989.535,3150.6313,3373.7092,3575.268,3813.4312,4073.6736,4243.0703,4342.7456,4652.457,4342.528,4615.324,4892,4914.038,5414.3506,5744.252,5784.4917,6102.6943,6425.865,6760.1113,7078.23,6560.7476,7557.3857,6674.871
"Mongolia",2620.489,2801.8618,2936.0627,3133.556,3401.9465,3775.438,4334.2314,4822.2334,5426.8535,6196.5894,6982.1465,7126.8086,7830.064,9484,10493,11545,12283,12398,12313.544,12728.355,13419.578,13871.33,12990.328,12992.167,13442.906
"Montenegro",5522.1045,5142.729,6046.142,6429.561,6897.725,7445.0503,8193.75,9002.218,10307.647,12027.43,13550.356,13459.499,14509.766,15747,15421,16064,16437,17249,17777.416,18640.195,19617.215,20448.549,17355.623,19656.557,20941.805
"Morocco",4729.183,4720.7715,4753.638,5042.073,5140.8726,5386.8506,5584.154,5708.0312,6076.9526,6228.4316,6530.978,6741.4604,6931.558,7226,7355.326,7599.724,7714.632,7959.528,7912.222,8222.67,8385.949,8540.804,7849.208,8391.295,8400.127
"Mozambique",1335.6608,1301.5763,1196.0149,1219.381,1199.7332,1155.7037,1125.8322,1107.5338,1099.3418,1067.9664,1031.3622,991.74524,956.53046,925,964.58234,1003.7287,1049.1935,1090.3977,1102.8173,1114.3684,1122.5856,1118.6304,1076.6941,1073.57,1087.836
"Myanmar",1547.0283,1667.6613,1843.4945,1996.3737,2175.8835,2410.5698,2664.9412,2947.0989,3246.6934,3542.5884,3585.7651,3673.4368,3772.9985,3884,4091.202,4371.003,4684.643,4984.669,5252.832,5503.632,5803.431,6140.885,6282.8115,5113.337,5177.4326
"Namibia",5859.8833,5926.4277,5971.815,5888.432,6069.3203,6082.4263,6712.772,6807.5757,7208.6885,7509.527,7618.031,7548.129,7905.541,8203,8482.415,8788.875,9134.8545,9333.583,9152.549,8882.617,8805.334,8567.793,7734.6055,7796.0615,7979.328
"Nepal",1570.6635,1609.1803,1676.7456,1738.3142,1709.7787,1747.7766,1802.1438,1836.3057,1884.1871,1927.3865,2021.154,2085.2437,2152.2747,2189,2258,2316,2421,2455,2443.4324,2632.3408,2800.8596,2953.5603,2832.8608,2902.0503,3013.5178
"Netherlands",34688.55,36409.08,37899.95,38636.223,38653.125,38803.957,39682.375,40679.49,42286.51,44008.75,44840.71,43178.508,43812.348,44591,43968.254,43782.97,44245.56,44912.664,45654.47,46706.438,47528.902,48142.67,46014.484,48001.84,49669.867
"New Zealand",24861.416,25867.992,26823.018,27167.318,28065.855,28876.287,29806.734,30270.248,30798.63,31784.441,31444.633,31233.076,31586.09,32057,32714.732,33109.26,33591.32,34248.477,34879.938,35573.965,36420.047,36912.074,35853.69,37837.457,38250.12
"Nicaragua",2569.8284,2748.127,2858.5269,2944.2446,2969.4575,3049.15,3220.261,3370.7776,3525.5537,3729.8513,3856.5522,3771.947,3916.9658,4189,4376,4527,4685,4866,5015.8643,5174.224,4930.4297,4721.7275,4575.1865,4978.8413,5092.8413
"Niger",755.248,736.91754,693.3765,723.31134,734.59155,758.1143,725.13165,757.2439,771.4197,766.18695,809.4504,775.2534,810.1572,799,849.7977,861.0156,884.34576,888.36847,903.57153,913.8115,942.5486,964.32434,962.7823,941.2575,1007.72095
"Nigeria",2025.8649,2034.8275,2144.8254,2282.823,2609.1294,2848.2812,3136.6274,3347.8206,3564.6323,3817.4836,4084.2002,4416.347,4904.8657,5136,5216.3154,5356.3887,5550.727,5558.026,5337.1294,5248.6885,5215.3755,5197.0825,4976.3223,5029.0884,5070.4927
"North Korea",1579.9309,1664.6421,1657.1444,1704.3733,1710.9496,1729.6221,1753.6919,1808.0618,1778.4956,1746.9276,1794.6573,1768.8898,1751.4363,1756.6108,1770.9209,1781.3009,1791.3436,1762.5167,1821.212,1749.0596,1668.5446,1666.8143,1584.3771,1577.1321,1568.847
"North Macedonia",7411.548,7732.047,8083.7896,7835.027,7964.0776,8160.413,8561.384,8984.545,9466.264,10099.407,10674.208,10657.878,11038.29,11321,11255.701,11568.169,11968.066,12412.94,12752.585,12878.021,13238.034,13751.228,13125.83,13692.046,14050.995
"Norway",48956.73,51129.184,54039.96,56578.38,58840.414,60852.258,64824.145,68108.555,71310.53,74879.81,76522.06,76625.63,78476.15,80623,81725.22,81564.3,82311.33,82983.99,83213.016,84600.71,84739.92,85115.32,83543.1,86334.59,88366.22
"Oman",20213.02,21519.67,24186.365,26431.1,27141.844,27313.98,28607.084,30392.56,33374.895,36424.98,40909.938,44244.65,46182.16,44454,47427.582,48900.758,48528.41,49926.875,51382.734,50502.68,50135.402,48596.527,46133.21,46573.574,47988.65
"Pakistan",3035.4517,3111.9585,3154.5115,3176.9468,3265.6865,3437.992,3664.5334,3883.9346,4062.6665,4160.365,4224.405,4288.462,4354.267,4464,4538.3457,4638.1616,4750.878,4889.915,5030.8354,5189.937,5299.071,5219.534,5242.6953,5463.7744,5531.723
"Palestine",6051.883,6204.6465,5377.3936,4626.303,3842.1465,4158.2993,4358.5176,4589.626,4193.154,4250.989,4287.209,4426.317,4548.5312,4863,5054,5054,4939,5003,5316.9883,5269.6025,5218.1562,5176.9795,4490.755,4698.9326,4775.202
"Panama",9560.335,9784.694,9898.788,9804.559,9879.454,10153.772,10769.523,11389.244,12195.747,13492.383,14466.968,14515.766,15169.125,16762,18051,18979,19855,20723,21445.125,22331.217,22843.75,23218.432,18840.738,21539.07,23557.02
"Paraguay",5321.9194,5150.4087,4896.4297,4918.046,5571.4272,5726.99,5876.66,5922.791,6128.6426,6383.4854,6713.0303,6376.9414,7139.027,7377,7232.376,7735.565,8047.5933,8188.404,8438.709,8741.245,8915.669,8776.076,8603.079,8845.659,8762.771
"Peru",5926.733,5945.1953,6038.2446,6010.225,6274.4185,6472.341,6731.005,7091.1333,7560.897,8138.3647,8812.618,8836.017,9507.78,10044,10605.589,11173.4375,11389.862,11713.57,12132.035,12390.033,12677.875,12680.354,11136.991,12550.461,12762.967
"Philippines",3852.6328,3917.0886,4033.5608,4090.2183,4181.376,4333.214,4562.5024,4721.0005,4908.6167,5172.662,5328.6826,5338.306,5694.047,5851,6155.8296,6465.518,6760.7627,7070.4756,7463.518,7865.815,8234.928,8602.1455,7624.4136,7894.1777,8370.666
"Poland",11413.256,12058.42,12732.167,13017.584,13415.571,14035.637,14906.094,15580.937,16711.447,18067.428,19011.547,19718.465,20608.693,21837,22169.826,22378.305,23247.818,24285.14,25020.621,26310.113,27880.836,29142.023,28577.14,30687.662,32468.402
"Portugal",21782.12,22589.922,23372.041,23751.371,23896.459,23677.52,24142.766,24377.95,24809.04,25477.205,25590.88,24902.457,25463.164,25133,24211.438,24119.96,24442.387,24983.701,25568.695,26529.986,27329.69,28056.057,25700.283,27138.479,28992.059
"Puerto Rico",24586.223,26186.299,27392.459,29517.049,30218.014,30688.102,32110.838,32013.541,32195.16,32511.115,32604.09,32648.104,33195.44,33981,34395,34736,34787,35384,35594.523,35248.4,34190.11,35041.33,33787.4,34095.492,35280.668
"Qatar",36448.055,40135.176,45788.12,50525.707,57541.1,62234.215,74372.93,76808.42,90120.92,97912.69,107402.055,115283.414,134802.78,155533,154339.81,155657.12,157712.9,159800.19,160051.23,153819.11,152453.81,150732.22,143118.53,143468.75,149171.11
"Romania",6407.467,6613.933,7089.9463,7860.4434,8673.619,9369.233,10531.172,11313.822,12823.231,14418.83,16347.344,15866.127,16377.328,17174,17580.932,17691.443,18487.26,19162.186,19825.604,23003.695,24000.455,23267.516,24799.71,26102.588,26197.904
"Russia",8557.495,9340.029,10552.885,11391.194,12259.477,13521.239,14880.979,16243.101,18008.336,20018.123,21563.463,20335.559,21737.385,23130,24020.31,24389.973,24135.035,23607.953,23610.37,24013.967,24690.082,25244.12,24625.385,26119.947,25437.107
"Rwanda",950.38947,975.83594,1023.6182,1067.2347,1154.1061,1130.0414,1159.0281,1210.5105,1261.7609,1291.1934,1364.745,1384.2589,1416.3923,1449,1528.552,1552.4253,1601.3938,1708.3467,1774.9015,1799.474,1908.049,2042.8529,1935.2662,2106.9736,2198.0662
"Saint Lucia",6831.2295,7111.8687,7191.275,7014.288,7141.7544,7602.129,8322.346,8418.911,9135.34,9377.8955,9931.685,10061.634,10058.623,10255,10067,10037,10035,10185,10486.955,10796.247,11060.511,10977.819,8164.9062,9067.721,10452.165
"Sao Tome and Principe",2228.905,2247.1223,2218.8196,2245.6062,2250.0894,2363.1824,2408.7607,2532.8706,2713.762,2752.0876,2925.8857,2949.8867,3093.3452,3179,3217,3314,3474,3545,3629.3381,3707.3599,3756.814,3781.2275,3826.3755,3821.0012,3751.6428
"Saudi Arabia",22310.918,22058.572,23904.516,24191.996,24053.975,27367.094,30233.512,32700.332,34483.043,36070.316,39393.43,39671.555,42737.656,48470,49835.047,50021.12,50790.992,51941.598,51959.074,50593.27,50906.484,50123.336,46723.93,49841.145,53516.91
"Senegal",1915.4297,1978.0964,1983.524,2009.9423,1959.6141,2025.0234,2074.9539,2121.1587,2104.437,2137.6716,2146.7915,2129.3364,2151.3247,2123,2141.3882,2127.3865,2191.9766,2262.3123,2335.8652,2435.9604,2514.8071,2559.8176,2524.2656,2607.2322,2660.6816
"Serbia",6603.711,5532.5415,6059.583,6542.6797,7155.576,7637.832,8512.168,9198.414,9902.426,10768.942,11650.228,11576.589,11963.555,12463,12438.256,12860.451,12717.727,13013.854,13518.949,13876.65,14579.859,15293.246,15256.421,16563.828,17097.686
"Seychelles",13801.1875,14235.787,14379.832,14221.163,14581.411,13835.993,13735.897,15172.563,16824.613,18832.826,18687.39,18743.996,20147.178,21545,22130,23036,24250,25690,28588.604,30072.227,31524.877,32745.871,29647.482,30125.953,31055.39
"Sierra Leone",882.7294,814.1233,828.7939,923.0458,1101.7504,1156.5192,1197.153,1223.7015,1247.2528,1320.7577,1363.4875,1378.3579,1421.1521,1479,1665,1965,2007,1563,1622.4203,1643.3287,1660.427,1707.3713,1635.713,1665.1047,1690.4982
"Singapore",33590.48,35156.117,37772.758,36864.574,37829.906,38950.746,42111.168,44698.84,48073.59,51844.062,52180.17,51344.477,58612.73,61672,62855.523,64821.926,66498.555,67673.94,69211.05,72292.04,74518.15,74649.734,71964.7,77945.484,80320.086
"Slovakia",13822.1875,13750.333,13904.985,14361.901,14984.731,15773.095,16570.861,17649.52,19099.428,21109.94,22231.988,20953.037,21941.213,22483,22745.203,22860.525,23453.041,24647.719,25087.715,25788.756,26790.652,27429.225,26468.295,27365.623,27519.287
"Slovenia",19851.057,20793.918,21501.336,22006.953,22725.312,23257.422,24150.584,24966.94,26182.78,27832.764,28473.596,25905.512,26000.92,26004,25269.232,24975.363,25638.66,26186.248,27004.717,28288.89,29461.344,30229.299,28733.303,31019.943,32673.762
"South Africa",7024.2954,7234.2856,7582.7783,7839.6255,8171.2065,8451.452,8877.921,9393.693,9978.471,10576.291,10977.146,10873.046,11318.6045,11838,11938.226,12048.068,12034.149,12009.91,11908.111,11867.522,11873.3,11739.936,10839.133,11273.159,11415.887
"South Korea",19624.691,21540.693,23108.018,23804.438,25250.637,25679.246,26646.504,27443.283,28516.484,29716.57,30117.729,29967.562,31537.773,32225,32826.48,33711.656,34573.09,35357.52,36255.24,37296.047,38214.324,38935.992,38606.984,40277.953,41320.9
"South and South East Asia (MPD)",0,0,3427.3994,0,0,0,0,0,0,0,0,0,5364.828,0,0,0,0,6704.329,7084.0864,7407.7363,7778.0244,8027.9653,7590.1543,7983.717,8377.074
"Spain",24284.861,25549.54,26994.86,28153.553,28753.322,29371.865,30088.092,30885.602,31907.424,32735.434,32844.324,31669.691,31786.404,31600,30645.215,30327.451,30842.184,32057.098,33002.676,33924.137,34553.625,34957.465,30834.514,32553.05,34123.387
"Sri Lanka",5440.221,5488.515,5841.094,5620.966,5721.3086,5963.57,6191.9663,6491.198,6904.036,7283.6323,7622.4087,7796.6475,8319.703,8918,9599.045,9898.523,10437.811,10784.185,11236.119,11868.202,12051.547,11939.55,11447.249,11751.948,10705.481
"Sub Saharan Africa (MPD)",0,0,2009.1904,0,0,0,0,0,0,0,0,0,3204.6519,0,0,0,0,3523.8147,3477.2732,3474.0273,3480.8083,3488.1553,3335.987,3398.5784,3436.5957
"Sweden",31187.164,32705.215,34202.605,34666.664,35569.773,36435.754,38016.062,39258.992,40992.3,42399.844,42189.965,40116.312,42634.754,42079,41523.145,41661.805,42346.836,43782.457,44131.03,44658.484,45003.492,45434.402,44128.332,46226.543,47126.13
"Switzerland",39890.54,41091.637,43251.105,44398.64,44934.316,45441.598,47263.598,49273.902,51862.965,54509.54,56054.883,55171.5,57219.5,58686,58750.938,59120.062,59775.54,60070.867,60647.64,60903.223,62185.477,62448.598,60521.26,62595.31,63323.254
"Syria",8742.974,7960.292,7668.072,7509.304,7529.7017,6986.524,7051.4287,7037.7183,6901.778,6779.537,6600.379,6586.5186,6520.6123,5979,4443.686,3487.681,3384.4143,3464.0376,3380.5535,3422.1772,3418.6953,3385.4192,2903.7397,2682.3398,2494.7612
"Taiwan",24131.22,25471.781,26787.445,26203.977,27425.807,28348.852,29975.139,31374.455,32867.367,34761.312,34762.367,33974.453,37385.49,38565,39291.184,40140.73,41930.84,42438.46,43262.195,44618.29,45817.938,47200.254,48779.438,51943.883,53142.984
"Tajikistan",1589.3315,1621.3206,1723.3563,1845.4783,1982.8837,2135.9082,2301.292,2416.867,2524.8447,2647.2095,2801.7761,2853.8884,2975.9268,3111,3283.9092,3464.207,3631.8794,3784.3435,3978.5557,4192.402,4440.1567,4695.543,4828.3936,5205.606,5507.5454
"Tanzania",1052.0751,1100.3531,1148.6802,1213.6268,1293.2051,1369.9391,1464.3854,1554.1523,1621.9966,1754.4626,1848.1746,1946.8481,2068.8638,2227,2271.4644,2353.3416,2436.4563,2505.9724,2592.6619,2683.0535,2785.1824,2894.6472,2948.4724,3008.113,3057.3286
"Thailand",9077.748,9347.061,9627.1045,9818.721,10276.398,10868.836,11408.326,11742.128,12180.711,12694.715,12768.129,12543.398,13343.547,13318,14202.251,14504.184,14571.971,14960.908,15411.534,15994.506,16610.05,16905.293,15815.915,16019.519,16421.072
"Togo",1174.8528,1183.013,1150.366,1115.5503,1081.7445,1114.4639,1121.8059,1119.8043,1144.8815,1145.9207,1150.3579,1165.8888,1191.1449,1227,1263,1292,1334,1370,1412.9878,1433.7917,1466.341,1501.8667,1482.7515,1534.8236,1586.5889
"Trinidad and Tobago",17013.754,18159.916,19179.918,19736.68,21052.45,23814.066,25403.27,26651.834,29792.424,30806.174,31434.305,29657.463,30235.994,29745,30944.223,31976.953,32878.203,32480.59,30158.125,28618.176,27863.434,27582.568,25548.51,25237.664,25773.006
"Tunisia",6944.661,7297.4746,7548.438,7848.094,7916.6797,8281.715,8705.084,8983.384,9420.023,9932.938,10294.922,10533.218,10721.812,10437,10750.85,10881.511,11084.781,11063.081,11064.023,11194.365,11376.29,11451.897,10354.239,10726.256,10913.846
"Turkey",11772.83,11151.674,11904.008,10950.992,11753.953,12380.207,13423.795,14487.758,15425.188,16090.835,16182.732,15188.421,16528.12,17919,18539.223,19855.717,20557.4,21519.33,21937.162,23278.996,23650.49,23497.504,23721.88,26175.93,27361.988
"Turkmenistan",3037.7043,3527.1604,4173.195,5014.0625,5795.641,6784.561,7781.7437,8791.676,9752.355,10829.376,12426.719,13188.448,14397.149,16518,17333.729,17080.463,17536.766,17857.26,17484.646,18104.434,18064.107,17264.172,16580.84,17169.06,17234.555
"USSR",6975.524,7419.676,8193.516,8850.159,9487.505,10390.942,11428.941,12426.28,13749.922,15215.925,16226.697,15416.6045,16344.523,17391,17984.639,18324.27,18281.469,17920.44,17987.484,18368.715,18906.762,19369.428,18851.242,19871.102,19354.709
"Uganda",1137.6382,1185.4313,1191.9539,1255.8844,1301.0588,1335.0305,1364.6852,1451.0973,1501.3855,1569.8298,1679.3995,1757.3862,1831.2906,1890,1878.8959,1895.4644,1941.1904,2026.8052,1953.0966,1998.5995,2036.3313,2128.9087,2032.2618,2083.8281,2122.0278
"Ukraine",4640.199,4751.3164,5165.808,5793.6597,6262.9824,7029.5703,8049.3955,8496.677,9355.988,10355.818,10824.076,9381.225,9601.209,10333,10381.639,10405.39,9817.459,8959.174,9221.608,9477.51,9827.172,10139.761,9769.828,10133.885,7749.0996
"United Arab Emirates",39667.793,42372.438,48888.03,51263.375,54077.47,59823.266,64925.67,65599.055,67830.93,65412.8,63862.086,58860.535,60112.402,65307,66007,66825.305,67791.39,71319.61,74292.95,73973.29,74206.484,74396.14,70188.27,72460.04,77203.67
"United Kingdom",30077.385,30932.537,31946.037,32660.441,33271.3,34232.426,34865.78,35623.625,36214.07,36816.676,36264.79,34402.36,34754.473,34971,35243.64,35660.56,36521.86,37101.227,37593.906,38283.938,38704.6,39113.01,34651.184,37134.33,38406.53
"United States",43072.758,44575.848,45886.47,45878.008,46266.297,47157.996,48492.72,49654.76,50489.86,50901.746,50275.746,48452.934,49266.914,49675,50436.434,51010.797,51796.62,52808.152,53301.016,54152.363,55454.668,56469.26,54379.207,57522.703,58487.465
"Uruguay",13744.321,13348.756,13050.063,12463.919,11399.581,11438.687,11955.31,12757.499,13223.781,13976.393,14869.927,15143.996,16415.629,17211,17776.027,18553.332,19104.312,19123.604,19393.982,19656.627,19697.76,19714.148,18460.04,19222.295,20181.94
"Uzbekistan",4575.987,4630.6514,4667.26,4725.2524,4777.2886,4844.73,5068.2085,5284.005,5535.1216,5907.999,6278.2734,6618.0977,7002.8594,7396,7847.0747,8340.988,8831.602,9381.347,9845.353,10182.692,10682.418,11219.243,11341.919,12076.092,12559.401
"Venezuela",14739.051,13669.484,13992.608,14298.037,12856.049,11728.183,13713.045,14944.34,16253.686,17386.086,18019.09,17242.945,17105.58,17746,18486.459,18484.234,17579.223,16333.083,13428.789,11363.969,9446.1875,7061.7617,4952.53,4896.802,5267.1753
"Vietnam",2564.2844,2641.3484,2773.1016,2915.686,3070.6934,3242.2854,3437.6643,3637.6565,3828.9077,4037.233,4200.2354,4360.0615,4571.8486,4786,4987.9644,5199.779,5465.4834,5776.465,6089.623,6437.739,6842.1387,7266.0483,7395.3613,7507.759,8050.359
"Western Europe (MPD)",0,0,32593.166,0,0,0,0,0,0,0,0,0,37420.33,0,0,0,0,38740.285,39299.83,40116.637,40640.984,41090.758,38162.535,40164.14,41323.023
"Western offshoots (MPD)",0,0,44321.316,0,0,0,0,0,0,0,0,0,48083.18,0,0,0,0,51453.055,51890.56,52692.227,53866.645,54730.81,52617.65,55576.02,56567.887
"World",0,0,9903.86,0,0,0,0,0,0,0,0,0,13121.591,0,0,0,0,14713.451,15029.054,15416.331,15814.849,16091.449,15461.187,16282.981,16676.75
"Yemen",4044.1484,4080.2185,4212.1055,4249.0337,4292.0986,4326.5103,4371.3955,4485.583,4497.2593,4516.1436,4549.009,4593.5425,4812.345,4088,4064.3423,4139.823,4019.4,2820.6172,2495.4993,2314.9673,2281.545,2265.343,2031.4436,1972.2102,1959.3195
"Yugoslavia",8152.854,8035.612,8472.589,8827.676,9266.39,9686.03,10317.229,10881.867,11598.9795,12461.67,13125.144,14028.42,14250.789,14540,14331,14500,14627,14971,15537.365,16128.635,16824.555,17524.213,16757.94,18491.682,19352.385
"Zambia",1308.9514,1373.8511,1428.5023,1504.4498,1579.0227,1698.5515,1828.3098,1970.0187,2133.594,2318.627,2504.757,2743.322,3032.0679,3205,3344.8652,3409.314,3461.09,3454.3528,3476.8513,3489.8547,3521.5051,3466.2363,3270.599,3321.5945,3342.4214
"Zimbabwe",2369.019,2323.0093,2211.1963,2193.7385,2025.3177,1700.9558,1604.503,1496.0343,1455.7286,1422.1553,1197.5261,1285.0466,1401.8566,1515,1749.8566,1766.3789,1789.0048,1798.7872,1782.8301,1843.9463,1900.1992,1753.0244,1585.9728,1687.2532,1703.5294
